!CSV A.01.01
!Keysight Technologies,E5080B,MY59205176,A.15.75.32
!Date: Saturday, February 21, 2026 19:32:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
2013000,-5.8521457,111.04562,-1.4790759,21.988226,-1.4837974,22.013603,-6.1664915,110.039
2015000,-5.8572321,110.97118,-1.4758872,21.984655,-1.4724207,21.922953,-6.1813655,109.87631
2017000,-5.8475394,110.8942,-1.4747146,21.918709,-1.4750131,21.95801,-6.1963253,109.86655
2019000,-5.877882,110.89442,-1.4765527,21.935184,-1.4780575,21.925619,-6.1936107,109.89281
2021000,-5.8638511,110.8348,-1.4790151,21.895126,-1.4700873,21.882565,-6.2009048,109.87989
2023000,-5.8714323,110.86828,-1.4703643,21.840836,-1.4704951,21.847185,-6.1941457,109.76928
2025000,-5.8730555,110.8145,-1.4699187,21.855635,-1.4728044,21.82502,-6.1897268,109.74281
2027000,-5.8804789,110.84244,-1.4726155,21.798372,-1.4555269,21.782578,-6.206286,109.67265
2029000,-5.876018,110.73906,-1.4603971,21.762257,-1.4631895,21.770105,-6.2066183,109.6956
2031000,-5.8882442,110.74823,-1.4638168,21.74555,-1.4610171,21.727751,-6.2155776,109.69698
2033000,-5.8920522,110.71048,-1.4628707,21.734936,-1.4656385,21.723658,-6.2067418,109.68171
2035000,-5.9026198,110.68681,-1.46042,21.65777,-1.4616343,21.685497,-6.230372,109.63415
2037000,-5.912961,110.63238,-1.4674966,21.680002,-1.4600794,21.636713,-6.2269869,109.63067
2039000,-5.91681,110.59045,-1.4605711,21.628984,-1.4596193,21.611198,-6.2398868,109.60583
2041000,-5.9070015,110.65003,-1.4569763,21.628681,-1.4559772,21.644217,-6.2274561,109.46312
2043000,-5.91787,110.52258,-1.4543679,21.586073,-1.4489764,21.540138,-6.2317405,109.53417
2045000,-5.938108,110.60026,-1.4566146,21.509769,-1.4522918,21.569778,-6.2441502,109.43357
2047000,-5.9132466,110.63041,-1.4554766,21.539377,-1.4521201,21.55772,-6.2601638,109.40414
2049000,-5.9271736,110.49605,-1.4573818,21.504175,-1.4448683,21.502146,-6.2642841,109.42696
2051000,-5.9410572,110.43552,-1.4506625,21.490612,-1.4493587,21.438398,-6.26512,109.41404
2053000,-5.9399114,110.46525,-1.4486048,21.473026,-1.4439301,21.487516,-6.257833,109.37035
2055000,-5.9486899,110.44151,-1.443698,21.432013,-1.4472909,21.397688,-6.2661777,109.27251
2057000,-5.9565616,110.4212,-1.4449463,21.386272,-1.4419323,21.373638,-6.2710385,109.26706
2059000,-5.9615369,110.37941,-1.4464633,21.344902,-1.4441799,21.360527,-6.286068,109.22171
2061000,-5.9561343,110.37842,-1.437034,21.377464,-1.4350985,21.346365,-6.2903566,109.21281
2063000,-5.9714274,110.28835,-1.4364513,21.302011,-1.4356389,21.294672,-6.2861886,109.21368
2065000,-5.9726954,110.27435,-1.438381,21.26029,-1.4294966,21.269556,-6.293098,109.18024
2067000,-5.9737577,110.20993,-1.4330446,21.282337,-1.4358763,21.260094,-6.3025231,109.15841
2069000,-5.9897895,110.15607,-1.4373685,21.291039,-1.4371122,21.202568,-6.2959309,109.12858
2071000,-5.988811,110.26286,-1.4328847,21.188499,-1.4287527,21.202404,-6.3056679,109.0174
2073000,-5.9912558,110.18474,-1.4316183,21.194855,-1.4291531,21.174274,-6.3127694,109.03017
2075000,-5.9953375,110.10074,-1.4257488,21.149601,-1.4294697,21.140112,-6.3235345,109.06447
2077000,-6.0063024,110.09484,-1.4254522,21.121229,-1.4346964,21.118528,-6.314199,108.97226
2079000,-5.9994025,110.08399,-1.4325981,21.114414,-1.4289848,21.07336,-6.3366556,108.98333
2081000,-6.0042777,110.03857,-1.4193929,21.089916,-1.4236157,21.096222,-6.3355403,109.00481
2083000,-6.0092449,110.05706,-1.423713,21.075659,-1.4221249,21.090294,-6.3310337,108.92128
2085000,-6.0106325,109.99821,-1.4272667,21.029505,-1.4234931,21.017752,-6.3422251,108.88324
2087000,-6.0177007,110.0361,-1.4181147,21.058617,-1.4269596,21.013737,-6.341063,108.81169
2089000,-6.0389409,109.89581,-1.4231695,21.014185,-1.4183698,20.948278,-6.3441472,108.83848
2091000,-6.0386786,109.95479,-1.4166158,20.928722,-1.4207546,20.959042,-6.3595281,108.83584
2093000,-6.0236096,109.93002,-1.4133525,20.953094,-1.4065456,20.90016,-6.3552613,108.70035
2095000,-6.0375714,109.89757,-1.4105269,20.92285,-1.4166814,20.918512,-6.363451,108.728
2097000,-6.0501256,109.85058,-1.4122878,20.84082,-1.4161789,20.878191,-6.3658042,108.74286
2099000,-6.0383086,109.84402,-1.4150625,20.817844,-1.4149216,20.859234,-6.3744969,108.69872
2101000,-6.0585184,109.80646,-1.4064368,20.841402,-1.4152752,20.814775,-6.3598619,108.65697
2103000,-6.0597801,109.78584,-1.4100394,20.834227,-1.4055587,20.816414,-6.3595157,108.62823
2105000,-6.0664907,109.71372,-1.4064225,20.803707,-1.4088068,20.720661,-6.3791327,108.59843
2107000,-6.0620537,109.65769,-1.4017079,20.721846,-1.4016203,20.69042,-6.3933668,108.57217
2109000,-6.0778766,109.65962,-1.4060442,20.696348,-1.4065982,20.714338,-6.3843055,108.55905
2111000,-6.0763049,109.66309,-1.4049567,20.654947,-1.4014419,20.714872,-6.3935423,108.46228
2113000,-6.0802321,109.63654,-1.4033625,20.684341,-1.3954746,20.66313,-6.4024715,108.50863
2115000,-6.089551,109.64004,-1.4015527,20.656874,-1.3997462,20.612223,-6.4045086,108.51795
2117000,-6.0904846,109.55524,-1.4032027,20.628626,-1.3959553,20.55155,-6.4176936,108.40633
2119000,-6.091763,109.54185,-1.4013947,20.582001,-1.3929751,20.599524,-6.4051528,108.44307
2121000,-6.1058884,109.48221,-1.3989891,20.551001,-1.4009912,20.548294,-6.4092636,108.36512
2123000,-6.1098466,109.5188,-1.3993242,20.537573,-1.3929238,20.520439,-6.4261684,108.41554
2125000,-6.1146274,109.51942,-1.3935164,20.498854,-1.3915128,20.50795,-6.4431105,108.29322
2127000,-6.1036792,109.39603,-1.3919353,20.499809,-1.3941255,20.442778,-6.4395771,108.31704
2129000,-6.1135268,109.31079,-1.3918591,20.435013,-1.3878003,20.465099,-6.4409904,108.32559
2131000,-6.1225471,109.39037,-1.3926402,20.474007,-1.3865534,20.452404,-6.4381328,108.17461
2133000,-6.1350288,109.3787,-1.3864434,20.364317,-1.3846146,20.392313,-6.4464855,108.15649
2135000,-6.1260443,109.37723,-1.3853211,20.371017,-1.3864291,20.35936,-6.4615574,108.21192
2137000,-6.1389542,109.28609,-1.3778671,20.385443,-1.3849967,20.330704,-6.4532351,108.10833
2139000,-6.1365066,109.30405,-1.3799648,20.366186,-1.381777,20.31996,-6.459187,108.08241
2141000,-6.1465816,109.26397,-1.391011,20.28219,-1.3782629,20.296333,-6.4695835,108.11731
2143000,-6.1500797,109.18279,-1.3828698,20.302767,-1.3792214,20.251154,-6.464026,108.0263
2145000,-6.1574121,109.19015,-1.38483,20.265379,-1.3744335,20.276102,-6.4711061,108.09995
2147000,-6.152739,109.09217,-1.3768957,20.246248,-1.3777324,20.237337,-6.4860229,107.99355
2149000,-6.1609397,109.09803,-1.3796518,20.225252,-1.3746964,20.179617,-6.4855933,107.99419
2151000,-6.1577606,109.11028,-1.3754265,20.148504,-1.3748946,20.178633,-6.49051,108.00852
2153000,-6.1711745,109.03982,-1.371451,20.151724,-1.3741586,20.169302,-6.4988723,107.93237
2155000,-6.1929035,109.00504,-1.3712856,20.135853,-1.3750911,20.113464,-6.4841843,107.9691
2157000,-6.1787109,109.0936,-1.3722064,20.094679,-1.3708391,20.105133,-6.5076776,107.86133
2159000,-6.1828475,108.995,-1.3682307,20.124069,-1.3677114,20.053818,-6.5035191,107.86335
2161000,-6.1942577,108.95249,-1.3741984,20.03834,-1.3688745,20.062603,-6.5171309,107.86994
2163000,-6.1752572,108.91724,-1.3664542,20.066959,-1.3683602,20.012814,-6.5204782,107.74371
2165000,-6.1962657,108.93825,-1.3706602,20.065437,-1.3642271,19.991697,-6.5228696,107.7546
2167000,-6.1904573,108.86339,-1.3667437,20.017317,-1.3650497,19.933319,-6.5292687,107.7352
2169000,-6.2040958,108.7962,-1.3605801,19.952799,-1.3635176,19.905697,-6.524507,107.74424
2171000,-6.2071371,108.82634,-1.3614218,19.909025,-1.3580908,19.913517,-6.5363359,107.68709
2173000,-6.2100563,108.77811,-1.3655038,19.926176,-1.3535128,19.908035,-6.5353661,107.72347
2175000,-6.2289219,108.76253,-1.3646197,19.900831,-1.3532968,19.860083,-6.516736,107.61086
END

